This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Debt - external 	 Date of Information
174 	 Eritrea 	 $        311,000,000 	 2000 est.
175 	 Saint Lucia 	 $        257,000,000 	 2004
176 	 Comoros 	 $        232,000,000 	 2000 est.
177 	 Equatorial Guinea 	 $        229,000,000 	 2006 est.
178 	 Saint Vincent and the Grenadines 	 $        223,000,000 	 2004
179 	 Dominica 	 $        213,000,000 	 2004
180 	 Malta 	 $        188,800,000 	 2005
181 	 Samoa 	 $        177,000,000 	 2004
182 	 Solomon Islands 	 $        166,000,000 	 2004
183 	 Bermuda 	 $        160,000,000 	 FY99/00
184 	 Cook Islands 	 $        141,000,000 	 1996 est.
185 	 Fiji 	 $        127,000,000 	 2004 est.
186 	 Marshall Islands 	 $         86,500,000 	 FY99/00 est.
187 	 Vanuatu 	 $         81,200,000 	 2004
188 	 Tonga 	 $         80,700,000 	 2004
189 	 New Caledonia 	 $         79,000,000 	 1998 est.
190 	 Cayman Islands 	 $         70,000,000 	 1996
191 	 Faroe Islands 	 $         64,000,000 	 1999
192 	 Micronesia, Federated States of 	 $         60,800,000 	 FY05 est.
193 	 British Virgin Islands 	 $         36,100,000 	 1997
194 	 Nauru 	 $         33,300,000 	 2002
195 	 Greenland 	 $         25,000,000 	 1999
196 	 Kiribati 	 $         10,000,000 	 1999 est.
197 	 Montserrat 	 $          8,900,000 	 1997
198 	 Anguilla 	 $          8,800,000 	 1998
199 	 Wallis and Futuna 	 $          3,670,000 	 2004
200 	 Niue 	 $           418,000 	 2002 est.
201 	 Brunei 	 $                0 	 2005
202 	 Palau 	 $                0 	 FY99/00
203 	 Liechtenstein 	 $                0 	 2001

 This file was last updated on 13 December, 2007
