This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Oil - proved reserves(bbl) 	 Date of Information
124 	 Seychelles 	               0 	 1 January 2006
125 	 Saint Kitts and Nevis 	               0 	 1 January 2006 est.
126 	 Saint Pierre and Miquelon 	               0 	 1 January 2006 est.
127 	 Rwanda 	               0 	 1 January 2006 est.
128 	 Puerto Rico 	               0 	 1 January 2006 est.
129 	 New Caledonia 	               0 	 1 January 2006 est.
130 	 Mozambique 	               0 	 1 January 2006 est.
131 	 Maldives 	               0 	 1 January 2006 est.
132 	 Malta 	               0 	 1 January 2006 est.
133 	 Mauritius 	               0 	 1 January 2006 est.
134 	 Mali 	               0 	 1 January 2006 est.
135 	 Macedonia 	               0 	 1 January 2008 est.
136 	 Montenegro 	               0 	 1 January 2006 est.
137 	 Malawi 	               0 	 1 January 2006 est.
138 	 Guinea-Bissau 	               0 	 1 January 2006 est.
139 	 Panama 	               0 	 1 January 2006 est.
140 	 Paraguay 	               0 	 1 January 2006 est.
141 	 Nicaragua 	               0 	 1 January 2006 est.
142 	 Netherlands Antilles 	               0 	 1 January 2006 est.
143 	 Nauru 	               0 	 1 January 2006 est.
144 	 Nepal 	               0 	 1 January 2006 est.
145 	 Vanuatu 	               0 	 1 January 2006 est.
146 	 Niue 	               0 	 1 January 2006 est.
147 	 Montserrat 	               0 	 1 January 2006 est.
148 	 Mongolia 	               0 	 1 January 2006 est.
149 	 Moldova 	               0 	 1 January 2006 est.
150 	 Macau 	               0 	 1 January 2006 est.
151 	 Madagascar 	               0 	 1 January 2006 est.
152 	 Luxembourg 	               0 	 1 January 2006 est.
153 	 Iceland 	               0 	 1 January 2006 est.
154 	 Grenada 	               0 	 1 January 2006 est.
155 	 Gibraltar 	               0 	 1 January 2006 est.
156 	 Gambia, The 	               0 	 1 January 2006 est.
157 	 French Polynesia 	               0 	 1 January 2006 est.
158 	 Faroe Islands 	               0 	 1 January 2006 est.
159 	 Falkland Islands (Islas Malvinas) 	               0 	 1 January 2006 est.
160 	 Fiji 	               0 	 1 January 2006 est.
161 	 El Salvador 	               0 	 1 January 2006 est.
162 	 Eritrea 	               0 	 1 January 2006 est.
163 	 Honduras 	               0 	 1 January 2006 est.
164 	 Hong Kong 	               0 	 1 January 2006 est.
165 	 Haiti 	               0 	 1 January 2006 est.
166 	 Guyana 	               0 	 1 January 2006 est.
167 	 Guinea 	               0 	 1 January 2006 est.
168 	 Guam 	               0 	 1 January 2006 est.
169 	 Greenland 	               0 	 1 January 2006 est.
170 	 Estonia 	               0 	 1 January 2006 est.
171 	 Ireland 	               0 	 1 January 2006 est.
172 	 Dominican Republic 	               0 	 1 January 2006 est.
173 	 Dominica 	               0 	 1 January 2006 est.
174 	 Djibouti 	               0 	 1 January 2006 est.
175 	 Cook Islands 	               0 	 1 January 2006 est.
176 	 Cape Verde 	               0 	 1 January 2006 est.
177 	 Central African Republic 	               0 	 1 January 2006 est.
178 	 Lesotho 	               0 	 1 January 2006 est.
179 	 Liberia 	               0 	 1 January 2006 est.
180 	 Latvia 	               0 	 1 January 2006 est.
181 	 Lebanon 	               0 	 1 January 2006 est.
182 	 Laos 	               0 	 1 January 2006 est.
