This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Telephones - mobile cellular 	 Date of Information
181 	 Saint Vincent and the Grenadines 	          104,000 	 2007
182 	 Guam 	           98,000 	 2004
183 	 Samoa 	           86,000 	 2007
184 	 Jersey 	           83,900 	 2004
185 	 Virgin Islands 	           80,300 	 2005
186 	 Seychelles 	           77,300 	 2007
187 	 Eritrea 	           70,000 	 2007
188 	 Timor-Leste 	           69,000 	 2007
189 	 Andorra 	           68,500 	 2007
190 	 Greenland 	           66,400 	 2007
191 	 Bermuda 	           60,100 	 2006
192 	 Faroe Islands 	           50,000 	 2006
193 	 Mayotte 	           48,100 	 2005
194 	 Tonga 	           46,500 	 2007
195 	 Grenada 	           46,200 	 2006
196 	 Djibouti 	           45,000 	 2007
197 	 Guernsey 	           43,800 	 2004
198 	 Dominica 	           41,800 	 2004
199 	 Comoros 	           40,000 	 2007
200 	 Cayman Islands 	           33,800 	 2004
201 	 Sao Tome and Principe 	           30,100 	 2007
202 	 Liechtenstein 	           27,500 	 2005
203 	 Micronesia, Federated States of 	           27,400 	 2007
204 	 Vanuatu 	           26,000 	 2007
205 	 Northern Mariana Islands 	           20,500 	 2004
206 	 San Marino 	           17,390 	 2006
207 	 Monaco 	           17,200 	 2005
208 	 Solomon Islands 	           10,900 	 2007
209 	 Saint Kitts and Nevis 	           10,000 	 2004
210 	 Gibraltar 	            9,797 	 2002
211 	 British Virgin Islands 	            8,000 	 2002
212 	 American Samoa 	            2,200 	 2004
213 	 Anguilla 	            1,800 	 2002
214 	 Turks and Caicos Islands 	            1,700 	 1999
215 	 Cook Islands 	            1,500 	 2002
216 	 Nauru 	            1,500 	 2002
217 	 Tuvalu 	            1,300 	 2005
218 	 Palau 	            1,000 	 2002
219 	 Kiribati 	             700 	 2005
220 	 Marshall Islands 	             700 	 2005
221 	 Niue 	             400 	 2002
222 	 Falkland Islands (Islas Malvinas) 	               0 	 2001
223 	 Norfolk Island 	               0 	 2002
224 	 Western Sahara 	               0 	 1999

 This file was last updated on 18 December, 2008
