This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Oil - consumption(bbl/day) 	 Date of Information
117 	 Bahamas, The 	           26,830 	 2006 est.
118 	 Cote d'Ivoire 	           25,950 	 2006 est.
119 	 Cameroon 	           24,500 	 2006 est.
120 	 Korea, North 	           24,000 	 2006 est.
121 	 Gibraltar 	           22,620 	 2006 est.
122 	 Mauritius 	           22,450 	 2006 est.
123 	 Iceland 	           21,120 	 2007 est.
124 	 Namibia 	           19,840 	 2006 est.
125 	 Macedonia 	           19,590 	 2006 est.
126 	 Mauritania 	           19,320 	 2006 est.
127 	 Malta 	           18,680 	 2006 est.
128 	 Madagascar 	           18,190 	 2006 est.
129 	 Togo 	           17,770 	 2006 est.
130 	 Nepal 	           16,960 	 2006 est.
131 	 Macau 	           16,570 	 2006 est.
132 	 Moldova 	           15,770 	 2006 est.
133 	 Zambia 	           14,760 	 2006 est.
134 	 Zimbabwe 	           14,590 	 2006 est.
135 	 Mozambique 	           14,390 	 2006 est.
136 	 Brunei 	           13,200 	 2006 est.
137 	 Gabon 	           13,170 	 2006 est.
138 	 Georgia 	           12,980 	 2006 est.
139 	 Mongolia 	           12,860 	 2006 est.
140 	 Guam 	           12,780 	 2007 est.
141 	 Haiti 	           12,370 	 2006 est.
142 	 Suriname 	           12,370 	 2006 est.
143 	 Kyrgyzstan 	           12,330 	 2006 est.
144 	 Djibouti 	           12,170 	 2006 est.
145 	 Botswana 	           11,640 	 2006 est.
146 	 Uganda 	           11,570 	 2006 est.
147 	 New Caledonia 	           11,560 	 2006 est.
148 	 Congo, Democratic Republic of the 	           10,460 	 2006 est.
149 	 Guyana 	           10,440 	 2006 est.
150 	 Fiji 	            9,971 	 2006 est.
151 	 Benin 	            9,232 	 2007 est.
152 	 Barbados 	            8,674 	 2006 est.
153 	 Guinea 	            8,559 	 2006 est.
154 	 Burkina Faso 	            8,470 	 2006 est.
155 	 Sierra Leone 	            8,430 	 2006 est.
156 	 Congo, Republic of the 	            7,677 	 2006 est.
157 	 Aruba 	            7,102 	 2006 est.
158 	 Belize 	            7,000 	 2006 est.
159 	 Seychelles 	            6,560 	 2006 est.
160 	 Malawi 	            6,160 	 2006 est.
161 	 French Polynesia 	            6,082 	 2006 est.
162 	 Niger 	            5,550 	 2006 est.
163 	 Maldives 	            5,490 	 2006 est.
164 	 Rwanda 	            5,320 	 2006 est.
165 	 Eritrea 	            5,186 	 2006 est.
166 	 Somalia 	            5,040 	 2006 est.
167 	 Afghanistan 	            5,036 	 2006 est.
168 	 Mali 	            4,640 	 2006 est.
169 	 Faroe Islands 	            4,628 	 2006 est.
170 	 Bermuda 	            4,566 	 2006 est.
171 	 Antigua and Barbuda 	            4,109 	 2006 est.
172 	 American Samoa 	            4,053 	 2006 est.
173 	 Greenland 	            3,927 	 2006 est.
174 	 Cambodia 	            3,736 	 2006 est.
175 	 Liberia 	            3,687 	 2006 est.
176 	 Swaziland 	            3,490 	 2006 est.
177 	 Laos 	            2,996 	 2006 est.
178 	 Burundi 	            2,956 	 2006 est.
179 	 Saint Lucia 	            2,780 	 2006 est.
180 	 Cayman Islands 	            2,767 	 2006 est.
181 	 Guinea-Bissau 	            2,520 	 2006 est.
182 	 Central African Republic 	            2,322 	 2006 est.
183 	 Cape Verde 	            2,117 	 2006 est.
184 	 Gambia, The 	            2,082 	 2006 est.
185 	 Grenada 	            2,043 	 2006 est.
186 	 Western Sahara 	            1,760 	 2006 est.
187 	 Saint Vincent and the Grenadines 	            1,570 	 2006 est.
188 	 Lesotho 	            1,400 	 2006 est.
189 	 Chad 	            1,352 	 2006 est.
190 	 Solomon Islands 	            1,320 	 2006 est.
191 	 Bhutan 	            1,250 	 2006 est.
192 	 Samoa 	            1,130 	 2006 est.
193 	 Nauru 	            1,070 	 2006 est.
194 	 Saint Kitts and Nevis 	             950 	 2006 est.
195 	 Equatorial Guinea 	             918 	 2006 est.
196 	 Tonga 	             870 	 2006 est.
197 	 Dominica 	             851 	 2006 est.
198 	 Comoros 	             712 	 2006 est.
199 	 Vanuatu 	             660 	 2006 est.
200 	 Sao Tome and Principe 	             660 	 2006 est.
201 	 British Virgin Islands 	             650 	 2006 est.
202 	 Saint Pierre and Miquelon 	             560 	 2006 est.
203 	 Montserrat 	             506 	 2006 est.
204 	 Cook Islands 	             464 	 2006 est.
205 	 Montenegro 	             450 	 2004
206 	 Falkland Islands (Islas Malvinas) 	             252 	 2006 est.
207 	 Kiribati 	             232 	 2006 est.
208 	 Turks and Caicos Islands 	              80 	 2006 est.
209 	 Saint Helena 	              60 	 2006 est.
210 	 Niue 	              20 	 2006 est.

 This file was last updated on 18 December, 2008
