This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Exports 	 Date of Information
197 	 Gambia, The 	 $         88,000,000 	 2007 est.
198 	 Antigua and Barbuda 	 $         84,300,000 	 2007 est.
199 	 Saint Kitts and Nevis 	 $         84,000,000 	 2006
200 	 Cape Verde 	 $         76,500,000 	 2007 est.
201 	 Guam 	 $         45,000,000 	 2004 est.
202 	 Burundi 	 $         44,000,000 	 2007 est.
203 	 Vanuatu 	 $         40,000,000 	 2006
204 	 Grenada 	 $         38,000,000 	 2006
205 	 Comoros 	 $         32,000,000 	 2006
206 	 British Virgin Islands 	 $         25,300,000 	 2002
207 	 Tonga 	 $         22,000,000 	 2006
208 	 Saint Helena 	 $         19,000,000 	 2004 est.
209 	 Kiribati 	 $         17,000,000 	 2004 est.
210 	 Micronesia, Federated States of 	 $         14,000,000 	 2004 est.
211 	 Anguilla 	 $         13,000,000 	 2006
212 	 Eritrea 	 $         12,000,000 	 2007 est.
213 	 Timor-Leste 	 $         10,000,000 	 2005 est.
214 	 Marshall Islands 	 $          9,100,000 	 2000
215 	 Sao Tome and Principe 	 $          9,000,000 	 2007 est.
216 	 Mayotte 	 $          6,500,000 	 2005
217 	 Palau 	 $          5,882,000 	 2004 est.
218 	 Saint Pierre and Miquelon 	 $          5,500,000 	 2005 est.
219 	 Cook Islands 	 $          5,222,000 	 2005
220 	 Cayman Islands 	 $          2,520,000 	 2004
221 	 Norfolk Island 	 $          1,500,000 	 FY91/92
222 	 Tuvalu 	 $          1,000,000 	 2004 est.
223 	 Montserrat 	 $           700,000 	 2001
224 	 Niue 	 $           201,400 	 2004
225 	 Nauru 	 $            64,000 	 2005 est.
226 	 Wallis and Futuna 	 $            47,450 	 2004
227 	 Tokelau 	 $                0 	 2002

 This file was last updated on 18 December, 2008
